step_id,phase,title,objective,why_it_exists,prerequisites,frontend_build,backend_build,database_build,ordered_procedure,security_controls,performance_budget,testing_required,success_looks_like,deliverables
S29,Phase 5 — Full lifecycle,"Build support desk, SLA clocks, incidents and knowledge","Provide reliable multi-source support with meaningful response metrics, safe conversations and recoverable poor outcomes.","Auto-acknowledgements must not hide slow human response; waiting, reopen and internal notes require exact semantics.",S24 email ingestion; S18 queues; S12 SLA; S26 workflows; S11 files.,"Build ticket queue/detail, SLA clocks, triage forms, customer/internal conversation composer, assignment/claim, root-cause/resolution, reopen/merge, incident command center, knowledge library/editor and SLA administration.","Implement common intake/dedupe, human-readable reference + opaque ID, triage/priority matrix, business-calendar SLA intervals, meaningful first response, waiting dependencies/wake-up, conversation visibility, assignment, ticket links/merge, incident cadence, diagnosis/root cause, knowledge versions, resolution/reopen and CSAT trigger.","Create ticket_categories, tickets/events, sla_clock_intervals, ticket_links, support incidents, knowledge_articles/versions/usage; indexes on state/owner/priority/next SLA/customer/reference.",1) Define categories/priority/SLA. 2) implement all intake adapters. 3) assign/triage. 4) start clocks. 5) manage visible conversation. 6) transition waiting/in-progress. 7) warn/breach immutably. 8) resolve with evidence. 9) reopen on unresolved reply. 10) schedule one CSAT interval.,Portal never sees internal notes/metadata; email untrusted; ticket reference not authorization; SLA corrections append events; critical incident updates restricted; file controls.,Ticket list/detail ≤1.6s/32 queries; clock calculation bounded/indexed; urgent intake/reply within one poll interval; dashboards ≤2s.,"Mailbox/form/portal dedupe, priority matrix, holiday/DST, auto-ack exclusion, wait pause rules, atomic claim, internal note leakage, merge provenance, missed incident cadence, resolve/reopen/CSAT uniqueness.",Every ticket has visible owner/priority/SLA/next action; meaningful first response is honest; waiting clocks reconcile; portal sees only customer content; low CSAT flows to recovery.,Support frontend/backend/API; SLA engine; incidents/knowledge; workflows WF-16–19; reports and UAT-07 evidence.
S30,Phase 5 — Full lifecycle,"Build surveys, feedback validation and low-score recovery",Make customer feedback operational input that immediately changes follow-up and customer treatment.,A feedback dashboard without owned recovery repeats dissatisfaction and can trigger inappropriate promotion.,S23 messaging; S26 workflow; S29 support; S15 holds.,"Build survey/version editor, request/status list, signed and portal survey pages, response detail/theme evidence, recovery queue/detail, hold visibility and accessible mobile forms.","Implement survey purpose/version/scale, eligibility/fatigue at schedule/send, signed token, one-click rating + comment/amendment, anonymous mode, validation/exclusion, local theme/severe phrase classification, recovery case/hold, root cause/action/outcome and privacy-aware reporting.","Create survey_definitions/versions, feedback_requests/responses/answers, recovery_cases/events; indexes on purpose/state/contact/sent/responded/recovery.",1) Configure survey purposes. 2) implement accessible forms. 3) calculate eligibility/fatigue. 4) issue token. 5) capture exact version. 6) validate. 7) classify locally. 8) open one recovery for low/severe. 9) hold promotional/advocacy. 10) close only with outcome.,Anonymous mode never re-identifies; token purpose-bound; raw text stays local; tiny cohorts suppressed; low-confidence classification human-reviewed; delivery failure not negative score.,Signed page ≤1.6s; low score creates recovery within one Cron interval; reporting ≤2s; classifier bounded and nonblocking.,"Token tamper/expiry/replay, fatigue conflicts, amend history, anonymous linkage absence, severe phrase/low confidence, duplicate/test/spam exclusion, low-score hold race, recovery closure evidence.",Every valid low score/severe complaint gets one owner/due action and immediate promotion hold; survey history preserves exact version; invalid/non-delivery data never pollutes health/models.,Feedback/recovery frontend/backend/API; survey defaults; workflows WF-19/20; classifier fixtures; reports and UAT-08 evidence.
S31,Phase 5 — Full lifecycle,"Build customer success, health, renewal, churn and advocacy","Create proactive, explainable retention operations across service, feedback, onboarding and commercial evidence.","Small companies need to see risk and renewal obligations before churn, without aggressive model-driven upsell.",S28-S30 outcomes; S20 commercial values; S18 work queue; S35 AI may initially use rules.,"Build portfolio, health history/reasons, success plans/actions, renewal list/detail, churn/win-back and advocacy suggestion screens. Always show computed vs override and evidence links.","Implement success profile/owner/review invariant, versioned health rules, immutable snapshots/reasons, override expiry, at-risk plan, meaningful inactivity, outcome plans, renewal cycles/milestones/decision, churn/corrective event, win-back eligibility and recommendation-only advocacy.","Create health_rule_sets/snapshots/reasons, success profiles/plans/actions, renewals, churn_events and advocacy_suggestions; indexes on state/owner/review/renewal/health band.",1) Define segments/dimensions/weights. 2) calculate rules snapshot. 3) create owner/review tasks. 4) open plan on risk. 5) detect inactivity. 6) create renewal cycle and 90/60/30 jobs. 7) compile open issues. 8) record decision/churn. 9) assess win-back. 10) suggest advocacy only after positive validated evidence.,No model-only upsell/churn; consent/fatigue/active recovery guards; financial field policy; override reason/expiry; corrective events not history rewrite.,Portfolio/health/renewal pages ≤1.6s; health batch checkpointed nightly and yields to operational jobs; no full unindexed scan; one renewal workflow per cycle.,"Health deterministic fixtures/double-counting, override expiry, active risk without plan, automated send not engagement, duplicate renewal sequence, churn correction, DNC win-back, advocacy suppression.",Every active customer has success owner/review date; every at-risk customer has plan or approved exception; health is fully explainable; renewals and churn reconcile to value records; advocacy never auto-sends.,Success frontend/backend/API; health rules/defaults; renewal/churn workflows WF-21–25; portfolio reports; UAT-09 evidence.
S32,Phase 6 — Portal and public interaction,Build invitation-only customer portal and signed public flows,Provide focused self-service while preserving strict organization/contact isolation.,A portal expands attack surface; every query and mutation must derive scope server-side and expose only deliberate customer wording.,S07 portal identity/invitation; S09 portal policy; S11 files; onboarding/support/feedback modules.,"Build separate portal shell, home, onboarding requests/progress, tickets/conversation, files, feedback, profile/preferences and public lead/support/feedback/preference/quote pages. Use plain language and mobile-first layouts.","Implement portal scope service, invite/recovery/session policy, object selectors that ignore client organization IDs, customer-visible status mapping, signed-link token hashes, public form abuse controls, portal file/message/upload services and maintenance-safe responses.",Use users/portal invitations/contact relationships plus source records; no duplicate portal copy. Add token hash/expiry/revocation columns and portal access audit where needed.,1) Define every portal-visible field/status. 2) implement separate URL/templates/policies. 3) derive scope from session. 4) build invite/recovery. 5) expose onboarding/tickets/files/feedback. 6) implement signed forms. 7) add rate/honeypot/timing limits. 8) test every altered ID. 9) test 360px/keyboard. 10) prove maintenance failure.,Exhaustive IDOR; stricter session timeouts; no internal notes/risk/queue metadata; signed tokens purpose-bound/expiring/revocable; CSRF; upload limits; neutral errors; no public directory/API.,"Portal/public p95 ≤2.5s mixed load, target ≤1.8s typical; ≤20 queries; payloads bounded; abuse controls preserve worker slots; no external scripts/CDN.","Cross-organization IDs for every resource/action, direct file path, token tamper/replay/cross-purpose, CSRF, session expiry, upload abuse, rate-limit accessibility, internal metadata leakage, maintenance.","A portal user can complete core onboarding/support/feedback flows on mobile, but cannot infer or access another organization or internal artifact through URL, search, count, file or response metadata.",Portal/public frontend/backend/API; visibility mapping register; IDOR suite; signed-link service; portal UAT-11 evidence.
S33,Phase 6 — Reporting and data operations,"Build reconciled dashboards, saved views and controlled exports","Make management information actionable, permission-safe and reproducible rather than a separate source of truth.","Dashboard totals are dangerous when definitions, permissions or drilldowns do not reconcile.",All source domains stable; S09 authorization; S18 saved work patterns.,"Build role dashboards and report pages for sales, onboarding, support, feedback, success, automation, data quality and health; metric definition drawer, saved views, drilldowns and export status/download.","Implement metric definitions/versioning, incremental aggregates, permission-aware selectors, saved allowlisted filter definitions, drilldown contracts, asynchronous exports, step-up/approval and CSV formula neutralization.","Create metric_definitions/aggregates, saved_views and export_jobs; index metric/version/period/scope and job owner/state/expiry.",1) Approve formulas/time basis. 2) create definitions. 3) build incremental aggregate jobs. 4) reconcile to source events. 5) implement authorized drilldown. 6) implement saved views. 7) create export snapshot/job. 8) generate safe file privately. 9) expire/audit. 10) add scheduled minimal digests.,Counts filtered before aggregation/disclosure; tiny anonymous cohorts suppressed; no raw SQL; export fields/rows reauthorized at execution; CSV injection neutralized; sensitive details stay behind login.,Report first page p95 ≤2s; standard ≤24 queries; exports return 202 ≤1.2s and run bounded; aggregates incremental; artifact expires ≤7 days.,"Metric formula/timezone/currency versions, aggregate-vs-drilldown, cross-role count leakage, stale permissions before export, formula injection, expiry/download, large job cancel/restart, scheduled digest reauth.","Every displayed number links to the exact authorized record set and named definition/version; exports cannot include unauthorized rows/fields and never block HTTP; dashboards highlight action, not vanity totals.",Reporting frontend/backend/API; KPI definitions; aggregate jobs; saved views; export pipeline; reconciliation/security tests; UAT-14.
S34,Phase 6 — Reporting and data operations,"Build imports, retention, archives, privacy cases and legal holds",Move legacy/ongoing data safely and control growth under the database/inode limits.,"Shared hosting has hard capacity ceilings; unsafe imports can message customers or duplicate identities, and retention/purge can destroy evidence.",S17 identity quality; S33 exports; S10 audit; approved retention/legal policy.,Build import wizard/batch progress/mapping/preview/duplicates/errors/reconciliation/release/rollback; retention policy/run/preview; archive inventory/retrieval; privacy case and legal-hold screens.,"Implement format detection, saved allowlisted mappings, row source keys, chunk commit/checkpoint, quarantine and release, rollback preview; policy-driven dry-run/archive/purge, hold projection, archive package/manifest/checksum/retrieval and privacy case workflow.","Create import_mappings/batches/rows, retention_policies/runs, archive_manifests/items, privacy_cases and legal_holds with source/state/time/hold indexes.",1) Stage source. 2) confirm encoding/delimiter/header. 3) map/validate. 4) preview candidates/errors. 5) commit bounded chunks with automation held. 6) reconcile. 7) release tasks only. 8) dry-run retention. 9) archive/verify before delete. 10) purge with signed destruction report/hold skips.,No arbitrary script/formula; imports cannot trigger outbound mail before release; export/import files private; purge requires authority/step-up; legal hold always wins; production data prohibited in staging without approved anonymization.,HTTP upload/submit bounded; commit/archive/purge are jobs; chunk ≤safe measured rows/time; DB warning 250MB/high 300MB/critical 340MB/block 360–375MB; archive single-record retrieval <60s.,"Encoding/malformed/oversize, idempotent re-import, interrupted chunk, duplicate resolution, rollback after human edit, no automation in quarantine, hold skip, archive corruption, purge dependency, privacy deadlines.",Migration/import counts and samples reconcile; no imported record contacts a customer unexpectedly; archives verify before source detail deletion; held records never purge; capacity trend stays safely below block.,Import/retention/archive/privacy frontend/backend/API; migration mappings; archive format; capacity thresholds; UAT-10 and governance evidence.
S35,Phase 7 — Decision intelligence,"Build local explainable AI, feedback, evaluation and governance",Add bounded intelligence that improves prioritization/classification while core operation remains independent.,Small datasets and shared hosting make opaque or autonomous AI unsafe; rules-first observation and measurable outcomes are required.,Stable source events/outcomes; S31 health; S30 text feedback; S24 inbound email; approved model cards.,"Build recommendation list/detail/explanation/feedback, model registry/card/version/evaluation, training runs and drift dashboards. Show output, confidence/abstention, reasons, missing data, evidence, version, expiry, actions and non-automatic boundary.","Implement feature registry/time-safe extractor, rule engine, weighted scores, pure-Python multinomial Naive Bayes where justified, immutable predictions/reasons, staff feedback, verified outcomes, checkpointed training, chronological evaluation, artifact checksum, promotion/demotion/tier and drift incident.","Create model_cards, feature_definitions, model_versions, predictions/reasons, recommendation_feedback, outcome_labels, training_runs and monitoring metrics; index entity/use-case/time/version/review/outcome.",1) Register use case/harms. 2) approve features/time semantics. 3) implement rules baseline. 4) record observation predictions. 5) collect staff feedback/outcomes. 6) reach data threshold. 7) train bounded candidate. 8) evaluate chronological holdout/baseline/severe misses. 9) four-eyes promote to recommendation. 10) monitor/demote.,No external data/model call; no protected/unneeded features; no high-impact model-only action; no free-form generated message; no auto-promotion; artifacts fail closed on checksum mismatch; AI disable leaves core usable.,Interactive inference target <300ms and bounded memory; batch scoring/training checkpointed and yields; web pages ≤1.6s; default sample gate ≥200 eligible and ≥30/class; routing gates as approved.,"Point-in-time leakage, missing values, abstention boundary, explanation completeness, model disabled fallback, artifact tamper, severe miss, class imbalance, chronological metrics, promotion authorization, drift demotion.",100% of surfaced predictions have version/confidence/reasons/feedback; insufficient data stays rules/observation; disabling AI does not block CRM; candidates never promote automatically or perform prohibited actions.,Intelligence frontend/backend/API; feature/model registries; rule/classifier artifacts; evaluation reports; governance/incident runbook; UAT-13.
S36,Phase 8 — Production hardening,"Build monitoring, capacity controls and incident operations","Detect stale jobs, mailbox failures, capacity pressure, security/data/model incidents and guide recovery from inside cPanel.","No external monitoring is permitted; green must be based on recent evidence, not merely absence of errors.",All commands/modules emit metrics; S03 health; S26 command runs.,"Complete privileged health, capacity, commands, incidents and support-bundle screens with trend, threshold, owner, evidence and degradation state.","Implement metric collection, freshness classification, threshold-to-incident, capacity projection, degradation order/feature disable, incident lifecycle/timeline, sanitized support bundle and internal management/security notifications.","Finalize system_metrics, system_incidents/events and command_runs; indexes by metric/time, incident state/severity/owner.",1) Define health contracts/thresholds. 2) collect each Cron heartbeat. 3) measure queue/mail/DB/files/inodes/errors/backups/release. 4) classify stale/degraded/unavailable. 5) create/dedupe incidents. 6) apply degradation order. 7) provide repair links. 8) build support bundle. 9) run tabletop scenarios.,Detailed diagnostics privileged/redacted; no secrets/full content in support bundle; incident access restricted; feature degradation never bypasses security/consent or silently drops service work.,Health page p95 ≤1.2s and ≤15 queries from recent metrics; synthetic critical incident visible within one monitoring interval; metric retention bounded.,"Stale heartbeat, mailbox outage, dead-letter surge, database threshold, inode warning, duplicate-send suspicion, compromised account, model incident, missing backup, support bundle redaction.","Operations can identify what is unhealthy, since when, impact, owner and next action without shell access. Nonessential jobs stop before hard limits while core records/service communication remain prioritized.",Operations dashboards/API; metric collectors; incident engine/runbooks; capacity/degradation controls; support bundle; exercises.
S37,Phase 8 — Production hardening,Build verified backups and timed restore drills,Create recoverable backup sets and prove restoration rather than assuming files exist.,"A backup that cannot be read, matched to code/config or restored is not a backup. Same-provider limitations must be explicit.",S34 archive/manifest; S42 release manifest scaffold; actual cPanel backup capabilities.,"Build backup inventory, compatibility/verification detail, restore drill creation/progress/result and recovery checklist. Do not expose artifacts directly to unprivileged users.","Implement selected logical DB export method, config/private-file/model/template/workflow/release manifests, checksums, free-space guard, verified retention, restore orchestration/checklist and reconciliation of counts/checksums/invariants/permissions.",Create backup_records and restore_drills; link release/config/schema/key versions and artifact manifests.,1) Select/test provider and application methods. 2) create bounded backup. 3) checksum/read contents. 4) record compatible inventory. 5) retain 7 daily/4 weekly/6 monthly where capacity permits. 6) never prune last verified set. 7) restore to staging/recovery. 8) intercept mail. 9) reconcile. 10) record RPO/RTO.,Artifacts restricted/checksummed; offline copy decision documented; secrets excluded or separately encrypted; keys backed up/versioned; suspected compromise rotates credentials after restore.,"RPO ≤24h, targeted 6h critical delta after resource test; RTO ≤4 business hours after host/valid backup available; backup outside peak and aborts before space exhaustion.","Zero-byte/corrupt/tampered/incompatible set, missing file/key/config, interrupted backup, retention pruning, full restore, portal isolation, outbox interception/idempotency after restore.","A selected set restores the application, customer history, files, permissions, jobs and configuration within measured target. Existence alone never shows verified status.",Backup/restore services/UI/API; Cron/runbooks; quarterly restore evidence; risk acceptance for correlated provider failure.
S38,Phase 8 — Production hardening,"Performance, capacity and soak hardening","Prove the complete system meets response, query, memory, concurrency and Cron budgets at representative volume.","Optimization by intuition misses N+1, unindexed filters, queue growth and shared-host contention.",All features integrated; representative dataset generator; Truehost-compatible staging.,"Instrument browser timings and page weight; simplify layouts/payloads, paginate, defer secondary fragments and ensure mobile performance. Do not add a heavy SPA/cache as a shortcut.","Add endpoint timers/query counts, EXPLAIN review, selector projections, indexes, aggregate refresh, bounded jobs, connection management and resource guards. Optimize only measured hot paths.","Load representative volumes from PRD, update statistics, verify table/index size and query plans. Add only justified composite indexes and archive old detail if needed.",1) Generate capacity data. 2) define mixed staff/portal/Cron workload. 3) baseline. 4) find slow/query-heavy endpoints. 5) fix N+1/select columns/indexes. 6) test 15 sessions. 7) stress 20. 8) run repeated Cron/mail/job soak. 9) measure memory/DB/inodes. 10) record safe failure/degradation.,"Performance changes cannot weaken authorization, CSRF, validation or audit. Test data synthetic; no production customer mail; rate limits remain enabled.","Routine list/detail p95 ≤2s/p99 ≤4s; mutation p95 ≤2.5s; portal/public p95 ≤2.5s; search ≤2s; 15 sessions <1% errors; memory ≤512MB; standard detail ≤25 queries, Customer 360 ≤35.",Endpoint percentiles/query count/page weight; mixed load with Cron; DB locks/slow queries; memory; 24h-equivalent soak; queue age; archive retrieval; safe 503/429/degradation.,"All budgets pass on production-equivalent engine/config; no unbounded trend, N+1 or resource-limit response at target; stress failure is controlled and recoverable.",Performance report by endpoint; query/index evidence; capacity projection; soak results; approved exceptions and regression tests.
S39,Phase 8 — Production hardening,Security hardening and independent verification,Verify the complete attack surface against the threat model and OWASP ASVS Level 2 baseline.,Security cannot be inferred from framework choice or test coverage; authenticated and portal logic require adversarial review.,Complete integrated application; threat model updated; test staging.,"Review every public/staff/portal state, error, link, upload, download, export and administrative action for information leakage and safe recovery.","Harden HTTPS/host/cookies/CSRF/CSP/HSTS, authentication, authorization, token, upload, email, serialization, dependency, logging, encryption, audit, automation configuration and incident controls. Remove debug/test endpoints.","Review database privileges, sensitive field encryption where preflight supports, backup access and retention. Verify no secret/PII in logs or test data.",1) Update threat model. 2) map ASVS applicability. 3) run SAST/dependency/secret scans. 4) execute auth/session/IDOR/mass assignment/injection/XSS/CSRF/upload/export tests. 5) review automation/AI abuse. 6) independent authenticated penetration review. 7) remediate. 8) retest. 9) sign residual risk.,No unresolved critical/high; medium requires owner/compensating control; break-glass and incident runbooks exercised; keys/secrets rotation documented.,Security controls remain enabled during load; rate-limit DB queries bounded; encryption/hash settings benchmarked to avoid self-DoS.,OWASP ASVS mapping; API Top 10 object/property/function/resource tests; CSP; token/redirect/SSRF absence; MIME; mail header; workflow code injection; model artifact; backup confidentiality.,"Independent reviewer cannot access another scope, execute injected content, bypass policy or extract secrets. Every finding has evidence and no critical/high remains.",Security verification report; ASVS matrix; penetration results/retest; threat model vFinal; incident exercises; go-live security sign-off.
S40,Phase 8 — Production hardening,"Accessibility, responsive and cross-browser acceptance","Prove complete staff, portal and signed journeys meet WCAG 2.2 AA and supported browser behavior.","Daily operational software fails when keyboard, zoom, mobile, errors or authentication exclude users.",Complete frontend; production-like configuration/data.,"Audit all critical journeys for semantics, landmarks, headings, labels, instructions, error summary, focus order/visibility/not-obscured, status messages, target size, no-color-only meaning, reflow and accessible authentication.","Ensure backend preserves user input, returns field and summary errors, provides stable focus targets and works without JavaScript for core operations. HTMX responses announce important updates appropriately.",No schema changes except accessibility preferences if approved.,1) Define journey matrix. 2) run automated scan. 3) keyboard-only. 4) 200% zoom/360px. 5) screen-reader spot checks. 6) Chrome/Edge/Firefox/Safari current/previous. 7) JS-off fallback. 8) fix. 9) repeat full processes. 10) document minor approved variances.,Accessible authentication must not weaken MFA/security; error messages non-disclosing; timeouts warn/allow extension where safe.,Critical pages remain within page-weight/latency target at 360px and zoom; no performance-heavy accessibility overlay.,"Login/MFA/reset, lead, Customer 360, task, quote approval, ticket, survey, portal upload, automation simulation, export, errors/conflicts.",No unresolved critical/serious barrier; all critical tasks keyboard-operable; no lost function at 360px/200% zoom; supported browsers pass core journeys.,Accessibility report; browser/responsive matrix; component fixes; role guides; WCAG evidence for production acceptance.
S41,Phase 8 — Production hardening,"Execute data migration dry runs, reconciliation and cutover readiness","Move all authoritative legacy data into canonical structures without guessing, duplication or unintended automation.",The best code fails if spreadsheets/mail/files are incompletely or incorrectly migrated.,S34 import tools; source inventory/mappings; full configuration; business owners.,Use import/reconciliation UI and customer/duplicate review. Add no one-off browser-only migration behavior.,"Create versioned migration scripts/adapters using the same domain services or explicit migration services, with source keys, checkpoints, rejects, repair and rollback reports. Import mail/file evidence within storage policy.","Load copy-sized staging, preserve provenance and old IDs, resolve duplicates and map statuses/reasons/owners. Keep records quarantined and automation disabled until signed release.",1) Inventory sources. 2) freeze data dictionary. 3) normalize/flag ambiguity. 4) dry-run identity clusters. 5) load staging. 6) reconcile counts/sums/status/owners/files/timelines. 7) repeat idempotently. 8) rehearse freeze/delta/rollback. 9) sign mappings. 10) prepare production runbook.,Synthetic/anonymized staging where possible; migration files private/short retention; no outbound customer effects; high-risk merges approved; privacy/retention applied.,Production migration fits maintenance window and DB/storage safety reserve; chunked/checkpointed; no long locks; projected final DB below critical/block threshold.,"Repeat run, interrupt/resume, duplicate source key, malformed row, missing owner, ambiguous status, files/checksums, timeline samples, no outbox/workflow, rollback repair.","Two dry runs reconcile within approved tolerance, all rejects have disposition, production duration/space is known, and business owners can sample complete customer histories.",Migration scripts/mappings; reconciliation reports; cutover timing; freeze/delta/rollback plan; data-owner sign-off.
S42,Phase 8 — Production hardening,"Deploy, migrate, cut over and activate production in controlled stages","Move the reviewed release to Truehost with verified backup, rollback and customer-effect interception.","A successful build can still fail through deployment order, incompatible migration, mail activation or resource spikes.",All acceptance evidence; restore pass; no critical/high defects; signed go-live.,"Enable maintenance/read-only states, verify local static assets, branded notices and build identifier. Use test records/mailboxes for smoke tests.","Create immutable release artifact/manifest, install locked dependencies, run deploy checks, acquire deployment lock, run migrations once, collect static, import config, restart Passenger, smoke and resume Cron/automation by priority.",Create verified predeploy backup; measure/execute migrations; load production configuration and quarantined migration; reconcile before release.,1) T-7 freeze/config/training. 2) T-1 final plan/owners. 3) backup/verify. 4) pause nonessential Cron/automation. 5) maintenance. 6) deploy artifact/hash-lock. 7) checks/migrations/static/config. 8) restart/build verify. 9) smoke with intercepted effects. 10) read-only review. 11) enable writes/IMAP/service mail. 12) activate approved workflows in small batches. 13) monitor/hypercare.,Exact hosts/HTTPS; staging mail interception; no production smoke customer effect; secret/config separation; rollback on authorization/data/duplicate-send/resource/mail defects.,"Observe web percentiles, 500/503/508, process/entry/memory, DB growth, queue/mail age and error rate. No activation batch exceeds mail/job capacity.",Exact deployment and rollback rehearsal; migration/invariant; login/MFA; customer/search; portal isolation; file; task/job lease; intercepted mail; health/build; rollback triggers.,Production shows expected build/config/schema; records reconcile; smoke passes; queues/mail/resource remain healthy; no real customer effect occurs until explicitly approved activation.,Release package/manifest; deployment log; smoke/reconciliation; go/no-go; rollback package; cutover communications; hypercare ownership.
S43,Phase 9 — Production operations,"Operate, patch, improve and prove reliability continuously","Keep production secure, within capacity and aligned with company processes after launch.","Production quality decays without ownership, drills, patching, metric review, feedback and controlled changes.",Successful S42 cutover; trained administrators/process owners.,"Maintain role-specific guides, contextual help, release notes and visible system health. UX changes follow the same accessibility/performance review.","Run staggered commands, incident/backup/restore/security/model reviews, dependency patches, release/change control, housekeeping, archive, data quality and invariant repairs. Add features only through PRD/ADR/traceability.","Monitor table/index growth, retention/archives, integrity, backup inventory and model/event history. Perform controlled schema evolution.","Daily: queues/mail/dead letters/capacity/action coverage. Weekly: KPI/data quality/workflows/security/model review. Monthly: capacity/archive/permissions/patches. Quarterly: restore/break-glass/incident/access review. Each release: backup, security, migration, smoke, rollback evidence.","MFA/access review, least privilege, patch SLA, key/secret rotation, incident exercises, audit verification and no unsupported dependencies.",Track p95/p99/query/memory/page weight/queue age/mail rate/DB/inodes against thresholds; re-test after material data/hosting/runtime change.,"Production checks, incident tabletop, restore, security regression, workflow simulation, model drift, permission recertification, archived retrieval and trained-admin runbook rehearsal.",No P0 job is unacknowledged >1 business day; action coverage ≥95%; backups/restores verified; security patches timely; capacity has reserve; changes remain traceable/reversible.,Operations calendar; daily/weekly/monthly/quarterly checklists; patch/release process; incident/postmortem; KPI/model reviews; continuous acceptance register.
