step_id,audience,route,name,purpose,components,api_dependencies,server_query,mutations,state_handling,authorization,accessibility,p95_server_ms,max_db_queries,max_compressed_kb,success_criteria
S17,Staff,/data-quality,Data quality exceptions,"Resolve missing, invalid, stale, duplicate and orphan-risk records.",RuleSummary; IssueTable; FieldEvidence; ResolutionForm,GET /data-quality/issues; POST /data-quality/issues/{id}/resolve,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Resolve/accept exception,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Operations scope + source record scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,22,800,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤22, compressed transfer ≤800 KB; empty, invalid, conflict and dependency-failure states are useful."
S19,Staff,/sales/leads,Lead queue,"Prioritize accepted leads by SLA, source, score reasons, owner and next action.",LeadFilters; SLAColumn; ReasonBadges; LeadTable; BulkBoundedActions,"GET/POST/PATCH /leads; transition, assign, qualification, disqualify, convert",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/assign/transition/disqualify,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Sales scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,22,850,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤22, compressed transfer ≤850 KB; empty, invalid, conflict and dependency-failure states are useful."
S19,Staff,/sales/leads/new,Create lead,Create manual/referral lead through the same validated intake path.,LeadIntakeForm; CustomerMatchPanel; ConsentEvidence,"GET/POST/PATCH /leads; transition, assign, qualification, disqualify, convert",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create lead,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,create_lead capability,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,18,600,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤18, compressed transfer ≤600 KB; empty, invalid, conflict and dependency-failure states are useful."
S19,Staff,/sales/leads/{id},Lead workspace,"Qualify, respond and convert while preserving source, SLA and sequence state.",LeadHeader; QualificationPanel; Timeline; ScoreExplanation; NextAction; SequenceStatus,"GET/POST/PATCH /leads; transition, assign, qualification, disqualify, convert",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,"Assign, qualify, transition, disqualify, convert, draft message",Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Lead object scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,28,900,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤28, compressed transfer ≤900 KB; empty, invalid, conflict and dependency-failure states are useful."
S20,Staff,/sales/opportunities,Opportunity list,"Manage open commercial pursuits, forecast source, stage age, value, risk and next action.",OpportunityFilters; Table; ForecastBadges; RiskReasons; SavedViews,"GET/POST/PATCH /opportunities; transitions, stakeholders, lines, forecast report",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/update/pause/transition,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Sales scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,22,850,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤22, compressed transfer ≤850 KB; empty, invalid, conflict and dependency-failure states are useful."
S20,Staff,/sales/pipeline,Pipeline board,Visualize stage columns without relying on drag-only interaction.,StageColumns; OpportunityCards; KeyboardMoveDialog; StageTotals,"GET/POST/PATCH /opportunities; transitions, stakeholders, lines, forecast report",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Transition through explicit dialog/evidence,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Sales scope; stage permission,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1700,24,1000,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1700 ms, SQL count ≤24, compressed transfer ≤1000 KB; empty, invalid, conflict and dependency-failure states are useful."
S20,Staff,/sales/opportunities/{id},Opportunity workspace,"Manage stakeholders, products, risks, quotes, approvals, stage evidence and next action.",OpportunityHeader; StageStepper; StakeholderPanel; LineItems; RiskPanel; QuoteList; Timeline,"GET/POST/PATCH /opportunities; transitions, stakeholders, lines, forecast report",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,"Update, transition, pause, mark lost/won through commands",Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Opportunity scope + financial field policy,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1600,32,1050,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1600 ms, SQL count ≤32, compressed transfer ≤1050 KB; empty, invalid, conflict and dependency-failure states are useful."
S21,Staff,/sales/quotes,Quotes,List draft/approval/issued/expired quote versions and delivery state.,QuoteFilters; QuoteTable; ApprovalState; ExpiryBadges,"GET/POST/PATCH /quotes and /quote-versions; approval, issue, deliver, expiry",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,"Create draft, request approval, issue/deliver",Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Quote and financial capability,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,800,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤800 KB; empty, invalid, conflict and dependency-failure states are useful."
S21,Staff,/sales/quotes/{id},Quote editor and evidence,"Build versioned line items, freeze issued snapshot and reproduce delivery evidence.",QuoteHeader; VersionSwitcher; LineEditor; Totals; ApprovalPanel; DeliveryEvidence,"GET/POST/PATCH /quotes and /quote-versions; approval, issue, deliver, expiry",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Edit draft; request approval; issue; deliver; supersede,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Quote scope + four-eyes thresholds,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1700,30,1100,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1700 ms, SQL count ≤30, compressed transfer ≤1100 KB; empty, invalid, conflict and dependency-failure states are useful."
S20,Staff,/sales/catalog,Product and service catalogue,"Govern active dates, codes, pricing guidance and onboarding mappings.",CatalogueTable; VersionForm; MappingPanel,GET/POST/PATCH /products; GET/POST /exchange-rates,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/update/retire catalogue item,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,catalog_admin capability,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,750,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤750 KB; empty, invalid, conflict and dependency-failure states are useful."
S20,Staff,/sales/pipelines,Pipeline configuration,"Define versioned stages, required evidence, SLA and allowed transitions.",PipelineList; StageEditor; TransitionMatrix; DependencyPanel,"GET/POST/PATCH /opportunities; transitions, stakeholders, lines, forecast report",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create draft version; validate/activate,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,pipeline_admin + approval,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1600,26,1000,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1600 ms, SQL count ≤26, compressed transfer ≤1000 KB; empty, invalid, conflict and dependency-failure states are useful."
S33,Manager,/sales/forecast,Forecast dashboard,"Reconcile pipeline, upside, commit and closed values with source probabilities.",ForecastCards; CurrencyBasis; StageChart; ExceptionTable,"GET/POST/PATCH /opportunities; transitions, stakeholders, lines, forecast report",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Drill to records; bounded export,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Manager scope + financial visibility,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1800,24,1000,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1800 ms, SQL count ≤24, compressed transfer ≤1000 KB; empty, invalid, conflict and dependency-failure states are useful."
S24,Staff,/messaging/inbox,CRM inbox,Show matched and ambiguous inbound conversations requiring action.,MailboxFilter; ThreadList; UnreadAge; MatchConfidence; CustomerContext,GET /email-threads; GET /email-messages; classify/rethread; draft reply,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Open thread; assign; acknowledge,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Mailbox + record scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,22,850,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤22, compressed transfer ≤850 KB; empty, invalid, conflict and dependency-failure states are useful."
S24,Staff,/messaging/threads/{id},Email thread,"Read sanitized conversation, customer context, reply state and attachments.",ThreadHeader; MessageStream; SafeHtmlViewer; AttachmentList; ReplyComposer; MatchReview,GET /email-threads; GET /email-messages; classify/rethread; draft reply,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/edit draft; rethread/classify,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Thread + customer scope; visibility filter,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,30,1000,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤30, compressed transfer ≤1000 KB; empty, invalid, conflict and dependency-failure states are useful."
S22,Staff,/messaging/drafts,Draft queue,"List drafts awaiting edit, approval or send eligibility.",DraftFilters; DraftTable; PurposeBadges; ApprovalState,GET/POST/PATCH /email-drafts; request approval; send,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/open draft,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Messaging scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1300,18,700,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1300 ms, SQL count ≤18, compressed transfer ≤700 KB; empty, invalid, conflict and dependency-failure states are useful."
S22,Staff,/messaging/drafts/{id},Controlled email draft,"Assemble approved blocks, show policy result, lock approval snapshot and send intent.",RecipientPanel; BlockComposer; PlainHtmlPreview; PolicyChecklist; ApprovalPanel,GET/POST/PATCH /email-drafts; request approval; send,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Edit; request approval; send,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Message purpose + recipient scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,26,900,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤26, compressed transfer ≤900 KB; empty, invalid, conflict and dependency-failure states are useful."
S22,Staff,/messaging/templates,Templates,Manage versioned purpose-classified templates and block library.,TemplateTable; PurposeFilter; VersionBadges,"GET/POST/PATCH /templates, template versions and blocks; preview/activate",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/open/retire,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,template_admin capability,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,750,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤750 KB; empty, invalid, conflict and dependency-failure states are useful."
S22,Staff,/messaging/templates/{id},Template editor,"Edit allowlisted variables, plain-text/HTML, preview, review and activate.",TemplateEditor; VariableDictionary; PreviewContexts; Diff; Approval,"GET/POST/PATCH /templates, template versions and blocks; preview/activate",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create version; validate; activate,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,template_admin + reviewer,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1600,24,950,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1600 ms, SQL count ≤24, compressed transfer ≤950 KB; empty, invalid, conflict and dependency-failure states are useful."
S23,Operations,/messaging/outbox,Outbox,"Monitor ready, sending, sent, failed and delivery-unknown intents by priority.",OutboxFilters; StateTable; PolicyResult; AttemptCount,GET /outbox; cancel/retry/reconcile ambiguous,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Cancel/retry/reconcile allowed states,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Messaging operations capability,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,800,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤800 KB; empty, invalid, conflict and dependency-failure states are useful."
S23,Operations,/messaging/outbox/{id},Outbox evidence,"Reconstruct rendered content hash, policy, approvals, attempts and delivery evidence.",OutboxHeader; RecipientList; PolicyEvidence; AttemptTimeline; AmbiguityPanel,GET /outbox; cancel/retry/reconcile ambiguous,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Cancel/retry/reconcile ambiguous,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Restricted messaging operations,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,24,900,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤24, compressed transfer ≤900 KB; empty, invalid, conflict and dependency-failure states are useful."
S22,Admin,/messaging/mailboxes,Mailbox administration,Configure approved SMTP/IMAP mailboxes and test connection without exposing secrets.,MailboxTable; SecretReferenceForm; TestPanel; HealthBadges,GET/POST/PATCH /email-accounts; test and health,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/update/test/disable,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,mail_admin + step-up,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,18,650,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤18, compressed transfer ≤650 KB; empty, invalid, conflict and dependency-failure states are useful."
S15,Admin,/messaging/suppressions,Communication suppression,"Review purpose/channel/global holds, bounce suppression and effective precedence.",SuppressionTable; EvidenceDrawer; CreateHoldForm,GET/POST/DELETE suppressions; consent/preferences/holds,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/end suppression,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,consent/suppression capability + audit,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,750,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤750 KB; empty, invalid, conflict and dependency-failure states are useful."
S25,Admin,/automation,Automation definitions,"List workflow families, current/draft versions, owners, dependencies and health.",WorkflowTable; StateBadges; OwnerFilter; DependencyWarnings,"GET/POST/PATCH /automation-definitions and versions; validate, dependencies, simulate, activate, rollback, emergency stop",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/open/retire definition,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,automation_admin capability,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,850,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤850 KB; empty, invalid, conflict and dependency-failure states are useful."
S25,Admin,/automation/new,Create workflow definition,Create governed workflow identity before editing an immutable version.,WorkflowMetadataForm; PurposeClassification; OwnerPicker,"GET/POST/PATCH /automation-definitions and versions; validate, dependencies, simulate, activate, rollback, emergency stop",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create definition/version,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,automation_admin,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1300,16,550,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1300 ms, SQL count ≤16, compressed transfer ≤550 KB; empty, invalid, conflict and dependency-failure states are useful."
S25,Admin,/automation/{id},Automation overview,"Review versions, metrics, dependencies, runs, approvals and rollback path.",WorkflowHeader; VersionList; DependencyGraph; Metrics; ChangeHistory,"GET/POST/PATCH /automation-definitions and versions; validate, dependencies, simulate, activate, rollback, emergency stop",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create version; validate; activate/rollback,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,automation_admin + reviewer,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1600,26,950,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1600 ms, SQL count ≤26, compressed transfer ≤950 KB; empty, invalid, conflict and dependency-failure states are useful."
S25,Admin,/automation/{id}/builder,Workflow builder,Build an acyclic allowlisted graph without executable code.,TriggerEditor; ConditionTree; StepList; DelayEditor; ExitEditor; ConflictPolicy; ValidationPanel,"GET/POST/PATCH /automation-definitions and versions; validate, dependencies, simulate, activate, rollback, emergency stop",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Save draft steps/conditions/exits,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Field dictionary + action allowlist,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1700,28,1100,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1700 ms, SQL count ≤28, compressed transfer ≤1100 KB; empty, invalid, conflict and dependency-failure states are useful."
S25,Admin,/automation/{id}/simulate,Workflow simulation,Evaluate draft against selected records/historical snapshots without side effects.,RecordPicker; SnapshotSelector; SimulationTrace; GuardResults; DateTimeline,"GET/POST/PATCH /automation-definitions and versions; validate, dependencies, simulate, activate, rollback, emergency stop",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Run simulation,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Read permission on sample records; no mutation,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1900,24,1200,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1900 ms, SQL count ≤24, compressed transfer ≤1200 KB; empty, invalid, conflict and dependency-failure states are useful."
S26,Operations,/automation/runs,Workflow runs,"Monitor enrolled subjects, current step, outcomes, exits and failure state.",RunFilters; RunTable; State/ExitBadges,GET /workflow-runs; pause/resume/cancel,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Pause/resume/cancel,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Automation operations + subject scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,800,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤800 KB; empty, invalid, conflict and dependency-failure states are useful."
S26,Operations,/automation/runs/{id},Workflow run trace,"Reconstruct trigger, condition decisions, actions, jobs, guards and timeline.",RunHeader; ExecutionTrace; SubjectLink; JobList; HumanReadableHistory,GET /workflow-runs; pause/resume/cancel,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Pause/resume/cancel,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Automation operations + subject scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,26,1000,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤26, compressed transfer ≤1000 KB; empty, invalid, conflict and dependency-failure states are useful."
S26,Operations,/automation/jobs,Scheduled jobs,Inspect due/retry/claimed/dead jobs and command heartbeat.,JobFilters; JobTable; LeaseState; RetryTimeline,GET /scheduled-jobs; cancel/replay; command runs,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Cancel safe job; open dead letter,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Automation operations,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,800,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤800 KB; empty, invalid, conflict and dependency-failure states are useful."
