requirement_id,group,requirement,production_behavior_or_acceptance,acceptance_evidence,priority,owner,design_component,implementation_issue,test_case_ids,evidence_link,status,exception
COM-025,COM,All customer communications shall be attributable and reproducible.,"Record stores sender identity, mailbox, recipients, purpose, template version, rendered body hash, attachments, approvals and delivery events.",Audit export reconstructs what was sent and why without relying on mutable template content.,,,,,,,Not started,
AUT-001,AUT,"Workflow definitions shall be structured, versioned and immutable after activation.","A workflow has name, owner, purpose, trigger, conditions, steps, exits, caps, approvals, status and version.",Editing an active workflow creates a draft version; existing runs retain original version.,,,,,,,Not started,
AUT-002,AUT,"Only allowlisted triggers, conditions and actions shall be executable.","No arbitrary Python, shell, SQL, HTTP callback or template code can be configured.",Security review confirms configuration cannot become remote code execution.,,,,,,,Not started,
AUT-003,AUT,"Supported triggers shall include record create/change, stage transition, message received/sent, task completion/overdue, ticket events, feedback, inactivity, renewal date, scheduled date and manual enrolment.",Each trigger emits a typed domain event after transaction commit.,Contract tests verify payload schema and one event per committed occurrence.,,,,,,,Not started,
AUT-004,AUT,Conditions shall be typed and validated against an allowlisted field dictionary.,Operators depend on data type; nested boolean groups have depth/size limits.,Invalid or unauthorized fields cannot be saved or evaluated.,,,,,,,Not started,
AUT-005,AUT,"Actions shall include assignment, task creation, notification, approved email/draft, field transition, tag, case/ticket creation, feedback request, escalation, score refresh, pause/end and controlled workflow enrolment.","Each action declares idempotency, authorization and compensating behavior.",Action tests cover repeat execution and partial failure.,,,,,,,Not started,
AUT-006,AUT,Workflow graphs shall be acyclic and limited to 30 steps.,Activation validation rejects direct/indirect cycles and excessive paths.,Cycle test fixtures fail activation with clear path evidence.,,,,,,,Not started,
AUT-007,AUT,Workflow enrolment shall use a unique key and explicit re-entry policy.,"Policies include once ever, once per version, once per event key or after cooldown.",Duplicate domain events cannot create unintended duplicate runs.,,,,,,,Not started,
AUT-008,AUT,"Every run shall persist subject, workflow version, trigger event, state, current step and outcome.",Run history is append-only for material transitions.,Operations can reconstruct all decisions and actions.,,,,,,,Not started,
AUT-009,AUT,Delayed steps shall create durable ScheduledJob rows; the process shall never sleep while waiting.,"Jobs store scheduled time, status, attempt, lease, idempotency, result/error and next retry.",Server restart does not lose or duplicate delays.,,,,,,,Not started,
AUT-010,AUT,Cron runners shall acquire a database lease and process bounded batches.,One active runner per command; stale lease recovery is time-bounded; batch max 50 jobs or 40 seconds.,Concurrent runner tests show one claim per job.,,,,,,,Not started,
AUT-011,AUT,Job claiming shall be atomic and safe under MySQL/MariaDB transaction semantics.,Claim query/lock strategy is documented and tested on production engine version.,Race tests do not double-execute actions.,,,,,,,Not started,
AUT-012,AUT,Each action shall have an idempotency key with a database uniqueness guarantee.,"Key includes action type, subject, workflow version/step and logical occurrence.",Forced crash after external send boundary is handled without silent duplicate.,,,,,,,Not started,
AUT-013,AUT,Retries shall be classified and bounded.,Transient errors use exponential backoff with jitter; permanent/policy errors do not retry; maximum attempts are configurable.,Retry schedule and terminal state match error fixtures.,,,,,,,Not started,
AUT-014,AUT,"Failed terminal jobs shall enter a dead-letter queue with owner, severity and replay controls.",Replay requires reason and re-runs current policy guard; bulk replay is capped.,Dead-letter aging and resolution are reportable.,,,,,,,Not started,
AUT-015,AUT,Exit conditions shall be evaluated before every delayed action and at relevant domain events.,"Reply, opt-out, status change, completion, complaint, suppression, duplicate objective and manual stop can exit.",A stale scheduled message is cancelled before sending.,,,,,,,Not started,
AUT-016,AUT,Communication policy shall be re-evaluated at outbox claim time.,Eligibility at workflow scheduling never guarantees later send.,Changed consent/bounce/hold after schedule prevents transmission.,,,,,,,Not started,
AUT-017,AUT,Workflow conflicts shall follow deterministic precedence.,"Security/legal holds outrank recovery, service, relationship and promotional actions; duplicate objectives collapse.",Simulation displays conflict resolution and winning policy.,,,,,,,Not started,
AUT-018,AUT,"Frequency caps and quiet hours shall apply across workflows, not per workflow only.",A communication ledger tracks recipient/purpose/channel in company timezone.,Two simultaneous workflows cannot exceed global cap.,,,,,,,Not started,
AUT-019,AUT,"Staff shall be able to pause a workflow run, a customer’s automations, a workflow definition or all outbound automation.","Scope, reason, actor, start/end and resume behavior are explicit.",Emergency stop halts new claims within one cron interval and leaves recoverable state.,,,,,,,Not started,
AUT-020,AUT,Simulation shall evaluate a draft workflow against selected records or historical snapshots without side effects.,"It shows trigger match, conditions, dates, actions, guards, conflicts and exits.","Simulation performs no email, mutation or customer-visible event.",,,,,,,Not started,
AUT-021,AUT,Test mode shall execute against designated test records/mailboxes with production-like persistence.,Test events are marked and excluded from business metrics.,Activation checklist includes successful test run evidence.,,,,,,,Not started,
AUT-022,AUT,"Activation shall require validation, owner, reviewer, change summary and effective time.",High-impact workflows require four-eyes approval.,Unreviewed or invalid definitions cannot become active.,,,,,,,Not started,
AUT-023,AUT,Rollback shall allow deactivation and restoration of a prior definition for new enrolments.,"Existing runs follow an explicit migration policy: continue, cancel, or controlled migrate.",Rollback report lists affected runs and actions.,,,,,,,Not started,
AUT-024,AUT,Workflow configuration shall have dependency analysis.,"System identifies referenced fields, stages, templates, queues and nested workflows before retirement/change.",Blocking dependencies prevent unsafe deletion.,,,,,,,Not started,
AUT-025,AUT,Domain events and transactional outbox records shall be created in the same database transaction as business changes.,Post-commit workers publish/consume durable records.,Rollback tests create neither event nor automation run.,,,,,,,Not started,
AUT-026,AUT,Event handlers shall be idempotent and record consumption state.,Consumer key and event ID uniqueness prevent duplicate effects.,Redelivery tests produce one logical result.,,,,,,,Not started,
AUT-027,AUT,Nested workflow enrolment shall be bounded with correlation and depth guards.,Event chain carries correlation ID and depth; maximum five nested enrolments.,Loop-like cross-workflow fixtures terminate safely and alert.,,,,,,,Not started,
AUT-028,AUT,"Bulk workflow enrolment shall be queued, capped, previewed and policy-checked per record.",No synchronous mass enrolment or direct large mailing is permitted.,"Result report identifies skipped, failed and enrolled records.",,,,,,,Not started,
AUT-029,AUT,"Workflow metrics shall include eligible, enrolled, exited, completed, failed, message delivered/replied, task completed, business outcome and time saved estimates.",Metrics are defined per version and avoid attributing outcomes after an incompatible change.,Dashboard reconciles counts to run/action records.,,,,,,,Not started,
AUT-030,AUT,Automation history shall be human-readable from the affected customer timeline.,"Timeline displays trigger, action, reason, status and link to run without exposing technical secrets.",Staff can explain why a task/message/status change occurred.,,,,,,,Not started,
ONB-001,ONB,A won opportunity shall create exactly one onboarding case from the mapped product/service template.,"Creation is part of idempotent won handoff and stores source opportunity, catalogue/template versions and handoff facts.",Repeated won events do not duplicate the case.,,,,,,,Not started,
ONB-002,ONB,"Onboarding templates shall define milestones, tasks, dependencies, owner roles, required customer inputs, SLA and completion rules.",Templates are versioned; active case retains its instantiated snapshot.,Template edits do not silently alter in-flight cases.,,,,,,,Not started,
ONB-003,ONB,"An onboarding case shall require accountable owner, target completion date, current phase and next action.",Owner is assigned by configured rule with fallback queue.,No case starts unowned or without initial work.,,,,,,,Not started,
ONB-004,ONB,Handoff completeness shall be validated before customer-facing onboarding starts.,"Purchased items, objectives, stakeholders, dates, constraints, promises, documents and risks are required by template.",Onboarding may return an incomplete handoff with structured reason and escalation.,,,,,,,Not started,
ONB-005,ONB,Milestone dependencies shall prevent invalid completion order while allowing authorized exception.,"Exception requires reason, impact and approver where configured.",Dependency graph is acyclic and validation-tested.,,,,,,,Not started,
ONB-006,ONB,Customer inputs and documents shall be requested through signed email links or authenticated portal tasks.,"Request shows purpose, due date, accepted types and status; uploaded file remains private.",Token and portal isolation tests pass.,,,,,,,Not started,
ONB-007,ONB,"Customer reminders shall stop on completion, reply, hold, suppression or staff override.",Reminder cadence is template-based and respects global communication policy.,Delayed jobs are cancelled idempotently.,,,,,,,Not started,
ONB-008,ONB,Progress shall be computed from weighted required milestones rather than self-reported percentage.,"Blocked, optional and waived items are represented explicitly.",Displayed percentage reconciles to milestone states.,,,,,,,Not started,
ONB-009,ONB,"Blockers shall have category, owner, impact, next action and escalation deadline.",High-impact blocker may affect customer health and suppress promotional workflows.,Blocker aging is visible to managers.,,,,,,,Not started,
ONB-010,ONB,Onboarding communications shall use approved templates and expose expected next step.,"Welcome, input request, progress update, delay notice and completion messages are versioned.",Sent evidence links to case and template version.,,,,,,,Not started,
ONB-011,ONB,"Case completion shall require all mandatory outcomes, customer handoff and success baseline.","Completion records delivered items, open follow-ups, support path, success owner and initial health facts.",Incomplete required items block terminal state.,,,,,,,Not started,
ONB-012,ONB,Completion shall schedule a feedback request and customer-success review.,Cadence and eligibility are configurable; low feedback opens recovery.,One completion creates one eligible survey request.,,,,,,,Not started,
ONB-013,ONB,"Abandoned or cancelled onboarding shall require reason, commercial impact and follow-up decision.",Cancellation can trigger churn/risk or sales review.,Outcome is reportable separately from completed cases.,,,,,,,Not started,
ONB-014,ONB,"Onboarding analytics shall show time-to-value, milestone delay, blocker cause, rework, completion and feedback.",Metrics use event history and template version.,Reports reconcile to cases and exclude test data.,,,,,,,Not started,
SUP-001,SUP,"Tickets shall be created from support mailbox, public/authenticated form, portal and staff entry.","All sources use a common intake service, dedupe key and source evidence.",Reprocessing an inbound message does not create duplicate ticket.,,,,,,,Not started,
SUP-002,SUP,Ticket reference numbers shall be human-readable but not authorization credentials.,Opaque identifiers protect links; reference search remains permission-aware.,Guessing a reference cannot expose a ticket.,,,,,,,Not started,
SUP-003,SUP,"Triage shall capture category, priority, affected service, organization/contact, owner and required SLA.",Rules may suggest values; staff confirms low-confidence classifications.,New/triage queues surface missing required information.,,,,,,,Not started,
SUP-004,SUP,Priority shall be derived from impact and urgency with controlled override.,Matrix and override reason are versioned; critical priority notifies manager.,Fixtures calculate expected priority and escalation.,,,,,,,Not started,
SUP-005,SUP,Business calendars and SLA policies shall be configurable by priority/service.,"First response, update and resolution targets support business hours, holidays and pause rules.","Clock calculations pass boundary, holiday and DST tests.",,,,,,,Not started,
SUP-006,SUP,A meaningful first response shall be distinguishable from automated acknowledgement.,Acknowledgement confirms receipt; first-response clock stops only on approved human/service response.,Metrics cannot be gamed by auto-reply.,,,,,,,Not started,
SUP-007,SUP,Waiting states shall require a specific dependency and wake-up/reminder date.,Customer-wait may pause configured clock; internal-wait normally does not.,Expired waiting state creates owner action.,,,,,,,Not started,
SUP-008,SUP,"Ticket conversation shall separate customer-visible messages, portal comments and internal notes.",Visibility labels persist in compose and history; restricted data is server-filtered.,Portal never receives internal note content or metadata.,,,,,,,Not started,
SUP-009,SUP,"Ticket assignment shall support team queues, skills/service rules, claim and escalation.",Atomic claim prevents duplicate ownership; absent users are excluded.,Assignment history and SLA impact are visible.,,,,,,,Not started,
SUP-010,SUP,"Related tickets shall support duplicate merge, parent/child incident and linked problem records.",Merge preserves message provenance and customer visibility; split creates traceable linkage.,No message or attachment is orphaned.,,,,,,,Not started,
SUP-011,SUP,Critical incidents shall have a distinct workflow with update cadence and management oversight.,"Incident state, impact, affected customers, updates, owner and resolution timeline are tracked.",Missed incident update cadence creates escalation.,,,,,,,Not started,
SUP-012,SUP,"Staff shall record troubleshooting steps, diagnosis, root cause and resolution category.",Structured fields are required by configured ticket categories.,Resolution reports can group recurring causes.,,,,,,,Not started,
SUP-013,SUP,"Knowledge articles shall be versioned, approved and scoped internal/portal.",Article usage can be linked to tickets; retirement preserves historical references.,Unapproved/private article cannot appear in portal.,,,,,,,Not started,
SUP-014,SUP,Resolution shall require a customer-facing summary and next-step expectation.,"Resolved state stores resolution time, category, root cause where applicable and validation window.",Required fields prevent premature resolution.,,,,,,,Not started,
SUP-015,SUP,Customer reply during validation shall reopen or create review according to policy.,Reopen retains original resolution and increments interval count.,Reply routing does not silently append to a closed invisible ticket.,,,,,,,Not started,
SUP-016,SUP,Resolved tickets shall trigger a policy-controlled CSAT request.,"Eligibility considers fatigue, contact preference, ticket type and recent survey.",One resolution interval creates at most one request.,,,,,,,Not started,
SUP-017,SUP,Low CSAT or explicit unresolved feedback shall create a recovery case and notify owner/manager.,Promotional communication is suppressed while recovery is open.,Action appears within one automation interval and is closed only with outcome.,,,,,,,Not started,
SUP-018,SUP,"SLA breach shall create an exception with reason, ownership and corrective action.",Breach cannot be removed by later editing dates; correction is an audited event.,"SLA report distinguishes avoidable, customer-wait and policy exception.",,,,,,,Not started,
SUP-019,SUP,Ticket attachments shall follow CRM private-file and visibility controls.,Inbound files remain logically quarantined until validation; portal access is scoped.,Disallowed content cannot be served inline.,,,,,,,Not started,
SUP-020,SUP,"Support dashboards shall show queue health, aging, SLA risk, reopen, backlog, cause and satisfaction.",Every aggregate drills to matching tickets.,Dashboard totals reconcile to event-derived metrics.,,,,,,,Not started,
SUP-021,SUP,Support data shall influence customer health using explainable features.,"Open severity, repeated issue, breach, reopen and low feedback become reason-coded health inputs.",Health snapshot links to exact support evidence.,,,,,,,Not started,
SUP-022,SUP,Ticket retention and redaction shall preserve operational evidence while minimizing unnecessary sensitive content.,Policy can archive message bodies/files separately and retain metadata.,Authorized archive retrieval and purge reports are tested.,,,,,,,Not started,
FDB-001,FDB,Survey definitions shall be versioned and typed by purpose.,"Supported purposes include ticket CSAT, customer effort, onboarding, relationship/NPS-style, lost deal, churn and targeted research.",Responses retain exact question/version and scale labels.,,,,,,,Not started,
FDB-002,FDB,"Feedback requests shall have eligibility, trigger, delay, expiry, channel, fatigue and recovery rules.",Eligibility is evaluated at schedule and send time.,Ineligible requests cancel with reason rather than silently disappearing.,,,,,,,Not started,
FDB-003,FDB,"Public feedback links shall be signed, scoped, expiring and resistant to enumeration.","Token identifies request only, not arbitrary customer records; optional one-response enforcement is configurable.",Tampered/expired token fails without revealing customer data.,,,,,,,Not started,
FDB-004,FDB,One-click rating shall confirm the selected value and allow optional comment without coercive redirects.,User may correct within policy window; original and amended events remain.,Rating capture works without account login and without third-party scripts.,,,,,,,Not started,
FDB-005,FDB,Authenticated portal feedback shall bind to the logged-in contact and organization.,The server disregards supplied customer identifiers outside the session scope.,Cross-tenant tests fail safely.,,,,,,,Not started,
FDB-006,FDB,Survey fatigue controls shall operate across all workflows.,Minimum interval varies by purpose; urgent recovery follow-up is separately classified.,Competing requests resolve deterministically.,,,,,,,Not started,
FDB-007,FDB,Low-score thresholds and severe phrases shall create a recovery case.,"Recovery has owner, due time, source, severity, contact status and outcome.",No low-score response remains without accountable action.,,,,,,,Not started,
FDB-008,FDB,Low feedback shall suppress promotional/advocacy automation until recovery closes or an authorized override expires.,Hold is visible in customer 360 and communication guard.,Scheduled messages are cancelled/deferred before send.,,,,,,,Not started,
FDB-009,FDB,Free-text feedback classification shall run locally with confidence and reason/keyword evidence.,"Categories include praise, unresolved issue, responsiveness, quality, usability, price/value, cancellation risk and other.",Low-confidence text routes to human review; raw text is never sent externally.,,,,,,,Not started,
FDB-010,FDB,"Staff shall code root cause, recovery action and customer outcome.","Resolution options include resolved, accepted, no response, invalid, product/process action and churn risk.",Recovery closure requires outcome evidence.,,,,,,,Not started,
FDB-011,FDB,"Anonymous survey mode, when enabled, shall not secretly re-identify respondents.",Definition clearly states anonymity; links omit customer binding and reporting enforces minimum cohort size.,No per-contact timeline event is created for anonymous mode.,,,,,,,Not started,
FDB-012,FDB,Relationship/NPS-style reporting shall use clearly labeled methodology and avoid trademark-dependent claims.,Promoter/passive/detractor thresholds are configurable and stored with report.,Historical results use the threshold version valid at response time.,,,,,,,Not started,
FDB-013,FDB,Feedback changes and deletion requests shall follow governance policy.,"Original response, correction, restriction and purge decisions are auditable.",Reports update without losing required evidentiary record.,,,,,,,Not started,
FDB-014,FDB,Feedback shall influence health and model outcomes only after validation rules.,"Spam, duplicate, test and invalid responses are excluded; weight varies by recency/purpose.",Health reason shows exact qualifying response.,,,,,,,Not started,
FDB-015,FDB,"Managers shall see themes, trend, response rate, recovery time and unresolved low feedback.",Aggregates suppress tiny cohorts where privacy policy requires.,Every non-suppressed metric drills to authorized source.,,,,,,,Not started,
FDB-016,FDB,"Survey email and pages shall meet accessibility, mobile and plain-language requirements.","Keyboard, labels, contrast, error handling and 360px responsive tests pass.",Survey can be completed with scripts disabled where practicable.,,,,,,,Not started,
FDB-017,FDB,"Feedback request delivery failure shall create an operational status, not a negative customer score.",Bounce/expiry/no-response are distinct outcomes.,Model features cannot treat non-delivery as dissatisfaction.,,,,,,,Not started,
CSM-001,CSM,"Each active customer shall have a success owner, lifecycle state and next review date.",Assignment derives from won handoff or admin rule; missing owner becomes an integrity exception.,No active customer remains unowned.,,,,,,,Not started,
CSM-002,CSM,"Customer health shall be a versioned snapshot with score, band, confidence, reasons and evidence links.","Dimensions may include engagement, support, feedback, onboarding, commercial and relationship risk.",A user can explain every score component.,,,,,,,Not started,
CSM-003,CSM,Health rules and weights shall be configurable by customer segment/service and effective date.,Changes create a model/rule version; historical snapshots remain reproducible.,Backfill is explicit and separately labeled.,,,,,,,Not started,
CSM-004,CSM,Health shall support authorized manual override with reason and expiry.,Override does not delete computed score; both are displayed.,Expired override automatically returns to computed state and creates review task.,,,,,,,Not started,
CSM-005,CSM,At-risk status shall create a recovery/success plan.,"Plan includes risk reasons, owner, actions, target outcome, review cadence and communication hold.",High-risk customer cannot remain without active plan or approved exception.,,,,,,,Not started,
CSM-006,CSM,Inactivity detection shall use meaningful interactions and service-specific thresholds.,Automated sends alone do not reset meaningful engagement unless policy explicitly allows.,Fixtures distinguish staff activity from customer engagement.,,,,,,,Not started,
CSM-007,CSM,"Success plans shall track customer outcomes, milestones, evidence and blockers.",Outcome progress is not inferred only from message volume.,"Review can show achieved, at risk, blocked and unverified outcomes.",,,,,,,Not started,
CSM-008,CSM,"Renewal records shall include date, value, products/services, owner, notice window and decision state.",Renewal can be created at won handoff or manually; changes are audited.,Renewal calendar and forecast reconcile to records.,,,,,,,Not started,
CSM-009,CSM,Renewal workflows shall begin at configured 90/60/30-day or service-specific milestones.,Health and open issues determine standard versus recovery path.,No duplicate renewal sequence occurs for one renewal cycle.,,,,,,,Not started,
CSM-010,CSM,"Renewal preparation shall surface unresolved support, low feedback, onboarding gaps, usage/status notes and commercial changes.",Evidence is linked and action owner assigned.,Promotional ask is held while critical recovery work is open.,,,,,,,Not started,
CSM-011,CSM,Expansion/cross-sell shall be recommendation-only unless staff confirms suitability.,Suggestion requires explainable signal and respects communication policy.,No automatic upsell email is sent from a model score alone.,,,,,,,Not started,
CSM-012,CSM,"Churn shall capture effective date, services/value lost, structured reason, preventability and evidence.",Churn transition stops inappropriate active workflows and opens final obligations.,Revenue retention reports reconcile to churn records.,,,,,,,Not started,
CSM-013,CSM,"Win-back eligibility shall require reason, minimum cooling period, contact permission and owner.","Sequence is low-frequency, bounded and stops on reply/opt-out.",Ineligible churned contacts cannot be enrolled.,,,,,,,Not started,
CSM-014,CSM,Advocacy/referral/review requests shall be suggested only after positive validated signals and no active risk.,Staff approves timing; fatigue and purpose consent apply.,Low feedback/support severity automatically suppresses suggestion.,,,,,,,Not started,
CSM-015,CSM,"Customer check-ins shall be scheduled based on segment, health and relationship cadence.",Missed reviews become work queue exceptions.,Calendar shows due/overdue reviews with reason.,,,,,,,Not started,
CSM-016,CSM,"Portfolio views shall prioritize actionable risk, renewal and opportunity rather than only average score.","Views show score change, reasons, value, due actions and unresolved exceptions.",Each item drills to customer evidence.,,,,,,,Not started,
CSM-017,CSM,Customer success outcomes shall feed model evaluation with leakage-safe timestamps.,"Recovered/not recovered, renewed/churned, expansion and action completion are stored.",Training datasets exclude facts occurring after prediction time.,,,,,,,Not started,
CSM-018,CSM,Customer state transitions shall be reversible only through explicit corrective events.,Accidental churn/renewal corrections preserve original decision and reporting adjustment.,Audit reconstructs both operational and corrected state.,,,,,,,Not started,
AIX-001,AIX,All intelligence functions shall execute locally within the application account and shall not transmit customer data to an external model/API.,Inference uses deterministic rules or lightweight pure-Python statistical models; artifacts are stored as versioned JSON/private files.,Network inspection and code review find no runtime AI endpoint dependency.,,,,,,,Not started,
AIX-002,AIX,Core CRM operation shall remain fully usable when all intelligence functions are disabled.,"Scoring/classification failures degrade to rules/manual queues and never block save, reply, ticket or support work.",Failure-injection tests confirm graceful fallback.,,,,,,,Not started,
AIX-003,AIX,Every intelligence use case shall have a registered model card.,"Card defines purpose, owner, population, input features, output, limits, harms, thresholds, metrics, review date and permitted automation tier.",Unregistered model/rule cannot be activated.,,,,,,,Not started,
AIX-004,AIX,Input features shall come from an explicit allowlist with semantic definition and observation timestamp.,Protected or unnecessarily sensitive attributes are prohibited; derived proxies require review.,"Feature extraction tests validate type, missing-value and time-bound behavior.",,,,,,,Not started,
AIX-005,AIX,"Predictions shall persist model version, entity, prediction time, feature snapshot/hash, output, confidence, reasons and expiry.",A prediction is immutable; refresh creates a new record.,Historical recommendation can be reproduced from stored artifact and features.,,,,,,,Not started,
AIX-006,AIX,"The system shall support rules-only, observation, recommendation and restricted-automation tiers.",Tier is per use case/model version and controls visibility/action permissions.,Changing tier requires approval and is audited.,,,,,,,Not started,
AIX-007,AIX,New models shall begin in observation mode.,Predictions are recorded and evaluated but do not alter customer treatment or staff priority.,No action path references an observation-only output.,,,,,,,Not started,
AIX-008,AIX,Recommendations shall include plain-language reason codes and supporting evidence links.,At least one positive/negative reason is shown; raw coefficients may be available to administrators.,100% of surfaced recommendations meet explanation schema.,,,,,,,Not started,
AIX-009,AIX,Low-confidence or out-of-distribution cases shall abstain.,Abstention creates no false precision and may route to human review.,Test fixtures at confidence boundary return configured abstain state.,,,,,,,Not started,
AIX-010,AIX,"Staff feedback shall capture accepted, rejected, modified, wrong category, wrong priority, already handled, insufficient information and free-text rationale.",Feedback links to prediction and subsequent action.,Feedback rate and disagreement are reportable by model/version/team.,,,,,,,Not started,
AIX-011,AIX,Verified business outcomes shall be attached separately from staff preference feedback.,"Outcomes include reply, conversion, win/loss, SLA, reopen, recovery, renewal/churn and completion.",Evaluation distinguishes recommendation acceptance from actual result.,,,,,,,Not started,
AIX-012,AIX,Training/evaluation datasets shall be time-sliced to prevent future-data leakage.,Features are materialized as known at prediction time; labels occur after a defined horizon.,Automated leakage checks and sample inspection pass.,,,,,,,Not started,
AIX-013,AIX,Candidate training shall require minimum data volume and class support.,Default: ≥200 eligible labeled examples and ≥30 per class for recommendation candidates; stricter auto-routing threshold is configurable.,Insufficient data keeps rules primary and documents why.,,,,,,,Not started,
AIX-014,AIX,Candidate evaluation shall use held-out chronological data and baseline comparison.,"Metrics include precision, recall, macro-F1, calibration/error, abstention coverage and operational cost.",Promotion report shows candidate versus current/rules baseline.,,,,,,,Not started,
AIX-015,AIX,Restricted automatic routing shall require approved thresholds.,"Default gate: macro-F1 ≥0.80 and severe-class recall ≥0.90 on sufficient held-out data, plus no unresolved safety regression.",Promotion is blocked when any gate fails.,,,,,,,Not started,
AIX-016,AIX,No high-impact action shall be executed solely from a model prediction.,"No automatic deletion, customer suppression override, account closure, commercial commitment, refund, churn, sensitive disclosure or model-authored free text.",Action allowlist tests reject prohibited uses.,,,,,,,Not started,
AIX-017,AIX,"Lead conversion scoring shall combine fit, completeness, recency and verified engagement with transparent reasons.",Score informs priority but never prevents human review or contact eligibility.,Staff can compare score with historical outcome and correct features.,,,,,,,Not started,
AIX-018,AIX,Customer health/risk scoring shall expose dimension-level reasons and avoid double-counting correlated signals.,"Support, feedback, onboarding, engagement and commercial evidence use configurable recency/weights.",Snapshot calculation is deterministic for rule fixtures.,,,,,,,Not started,
AIX-019,AIX,"Inbound intent classification shall support sales, pricing, support, complaint, cancellation risk, renewal, billing, praise and other.",High-severity intents favor recall; low-confidence routes to general queue/human review.,Confusion matrix and severe miss review are available.,,,,,,,Not started,
AIX-020,AIX,Duplicate detection shall be recommendation-only.,"Candidate pair shows exact/fuzzy evidence and conflict risk; staff accepts, rejects or marks not duplicate.",No model can merge records automatically.,,,,,,,Not started,
AIX-021,AIX,Next-best-action shall select only from an approved action catalogue and respect mandatory obligations.,"SLA, consent, active recovery, due promises and workflow conflicts outrank predicted commercial action.",A model recommendation cannot suppress a required service action.,,,,,,,Not started,
AIX-022,AIX,Automated text support shall be limited to controlled template/block assembly.,No free-form generative customer message is produced; staff sees source blocks and may edit.,Code and configuration contain no remote/local LLM inference path.,,,,,,,Not started,
AIX-023,AIX,"Model artifacts shall be signed/checksummed, immutable after activation and rollback-capable.","Activation stores artifact hash, code/feature versions and approver.",Tampered artifact fails load and triggers system incident.,,,,,,,Not started,
AIX-024,AIX,Training and batch scoring shall be bounded cron jobs with checkpoints.,Maximum rows/time/memory are configurable; candidate work yields to operational jobs.,Interrupted job resumes safely and does not hold long database locks.,,,,,,,Not started,
AIX-025,AIX,"Drift and performance monitoring shall compare data distribution, confidence, abstention, disagreement and delayed outcomes.",Alert thresholds and review cadence are model-specific.,Breached threshold can automatically demote to recommendation/observation or disable.,,,,,,,Not started,
AIX-026,AIX,"Model promotion, demotion and retirement shall require named accountable approval and complete audit.",No candidate auto-promotes after training; emergency disable is immediate.,"Governance report lists all active versions, tiers and review dates.",,,,,,,Not started,
RPT-001,RPT,Dashboards shall be role- and scope-aware.,A user sees only authorized records and aggregates; counts do not leak restricted objects.,"Permission tests cover cards, charts, drilldowns and exports.",,,,,,,Not started,
RPT-002,RPT,"Every metric shall have a versioned definition, owner, source fields, time basis, filters and exclusion rules.",Definition is visible from the dashboard.,Metric changes do not silently rewrite historical interpretation.,,,,,,,Not started,
RPT-003,RPT,Dashboard aggregates shall drill to the exact authorized record set.,Filters are encoded in a saved-view definition rather than hidden SQL.,Displayed count equals drilldown count for test datasets.,,,,,,,Not started,
RPT-004,RPT,Operational dashboards shall prioritize exceptions and actions.,"Sales, support, onboarding, success and automation views show overdue, blocked, unowned, at-risk and failed items.",A manager can assign or open work from drilldown.,,,,,,,Not started,
RPT-005,RPT,"Lead reporting shall include source, response SLA, qualification, conversion, aging and disqualification reasons.",First/last/converting source are distinct.,Totals reconcile to lead events and exclude test/import-preview records.,,,,,,,Not started,
RPT-006,RPT,"Sales reporting shall include pipeline, stage velocity, forecast, win rate, slip, quote expiry, loss reasons and next-action compliance.",Value reports identify currency conversion source.,Closed totals reconcile to immutable outcomes.,,,,,,,Not started,
RPT-007,RPT,"Onboarding reporting shall include handoff quality, time-to-first-value, milestone delay, blocker, completion and feedback.",Metrics are segmentable by template/product/version.,Case drilldown validates aggregate.,,,,,,,Not started,
RPT-008,RPT,"Support reporting shall include backlog, first response, resolution, SLA, wait time, reopen, cause and satisfaction.",Automated acknowledgements are excluded from meaningful first response.,Clock calculations reconcile to ticket intervals.,,,,,,,Not started,
RPT-009,RPT,"Customer-success reporting shall include health change, risk reasons, recovery, renewal, churn, retention and advocacy eligibility.",Manual overrides and computed health are distinguishable.,Portfolio value reconciles to customer/renewal records.,,,,,,,Not started,
RPT-010,RPT,"Feedback reporting shall include response rate, distribution, themes, recovery time and unresolved low scores.",Anonymous/tiny cohorts follow privacy suppression rules.,No anonymous response is drillable to an individual.,,,,,,,Not started,
RPT-011,RPT,"Automation reporting shall include enrolment, exit, completion, failure, reply, task completion, outcome and version comparison.",Causal claims are avoided unless an approved experiment design supports them.,Report labels observed association versus controlled result.,,,,,,,Not started,
RPT-012,RPT,"AI reporting shall include model card, coverage, abstention, confidence, confusion matrix, severe misses, feedback, drift and outcome.",Metrics are per version and evaluation window.,Promotion evidence is reproducible.,,,,,,,Not started,
RPT-013,RPT,"Data-quality reporting shall surface duplicate candidates, missing required fields, invalid contacts, stale records, orphan risks and retention exceptions.",Each rule has severity and owner.,Resolution changes dashboard within aggregation interval.,,,,,,,Not started,
RPT-014,RPT,"System-health reporting shall show cron heartbeat, queue depth/age, dead letters, mailbox health, database size, file storage, inode estimate, errors and backup/restore status.",Thresholds create incidents and release blocks.,Admin can drill to evidence without server shell access.,,,,,,,Not started,
RPT-015,RPT,"Exports shall be asynchronous, permissioned, time-limited and auditable.","Generated file is private, encrypted when policy requires and automatically expires.",Direct export of unauthorized fields/records is impossible.,,,,,,,Not started,
